date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot
5/21/2004,11.5705,580,0.0665,0.005,6.955,#N/A N/A,1.1,4.7558,18.49,39.93,1.198
5/24/2004,11.4888,615,0.1425,0.0077,6.9688,#N/A N/A,1.1,4.732,18.08,41.72,1.2005
5/25/2004,11.4768,582.5,0.0618,0.011,6.8,#N/A N/A,1.1,4.7201,15.96,41.14,1.2106
5/26/2004,11.4643,595,0.084,0.0065,6.9,#N/A N/A,1.1,4.6549,15.97,40.7,1.2106
5/27/2004,11.4128,532.5,0.0805,0.0176,6.92,#N/A N/A,1.11,4.5999,15.28,39.44,1.2264
5/28/2004,11.4,544,0.0575,0.0452,6.875,#N/A N/A,1.11375,4.6468,15.5,39.88,1.2222
5/31/2004,11.452,545,0.0615,0.02,6.895,#N/A N/A,1.11375,4.6468,15.5,39.88,1.2188
6/1/2004,11.4675,610,0.097,0.0082,7.0339,#N/A N/A,1.125,4.7001,16.3,42.33,1.2248
6/2/2004,11.4668,622.5,0.0653,0.0075,7.0389,#N/A N/A,1.13125,4.7377,16.08,39.96,1.2215
6/3/2004,11.4472,590,0.0538,0.0116,7.0738,#N/A N/A,1.15,4.7099,17.03,39.28,1.2227
6/4/2004,11.4122,585,0.054,0.0056,7.0989,#N/A N/A,1.16,4.7715,16.78,38.49,1.2283
6/7/2004,11.358,557.5,0.0938,0.006,7.1089,#N/A N/A,1.17,4.7596,15.39,38.66,1.2322
6/8/2004,11.349,575,0.0629,0.006,7.05,#N/A N/A,1.17875,4.7615,15.01,37.28,1.2269
6/9/2004,11.3725,550,0.0723,0.013,6.9899,#N/A N/A,1.19,4.8055,15.39,37.54,1.2049
6/10/2004,11.3555,540,0.0445,0.0111,7.039,#N/A N/A,1.21125,4.7935,15.04,38.45,1.2106
6/11/2004,11.3748,555,0.0423,0.1315,6.989,#N/A N/A,1.23875,4.7995,15.04,38.45,1.2006
6/14/2004,11.465,560,0.1077,0.02,7.065,#N/A N/A,1.2525,4.8698,16.07,37.59,1.2057
6/15/2004,11.388,585,0.0855,0.018,7.0937,#N/A N/A,1.27875,4.676,15.05,37.19,1.2162
6/16/2004,11.359,542.5,0.0618,0.006,7.0185,#N/A N/A,1.26375,4.7216,14.79,37.32,1.2011
6/17/2004,11.351,522.5,0.033,0.006,6.99,#N/A N/A,1.28,4.6779,15.15,38.46,1.2053
6/18/2004,11.3421,520,0.0707,0.016,7,#N/A N/A,1.28,4.7096,14.99,38.75,1.2137
6/21/2004,11.3098,555,0.0812,0.0055,7,#N/A N/A,1.285,4.6837,15.26,37.63,1.2114
