date,amount,direction,type,sell_amount
1/16/2012,0,sell USD,min price,
1/17/2012,0,sell USD,min price,
1/18/2012,0,sell USD,min price,
1/19/2012,0,sell USD,min price,
1/20/2012,0,sell USD,min price,
1/23/2012,0,sell USD,min price,
1/24/2012,0,sell USD,min price,
1/25/2012,0,sell USD,min price,
1/26/2012,0,sell USD,min price,
1/27/2012,0,sell USD,min price,
1/30/2012,0,sell USD,min price,
1/31/2012,0,sell USD,min price,
2/1/2012,0,sell USD,min price,
2/2/2012,0,sell USD,min price,
2/3/2012,0,sell USD,min price,
2/7/2012,0,sell USD,min price,
2/8/2012,0,sell USD,min price,
2/9/2012,0,sell USD,min price,
2/10/2012,0,sell USD,min price,
2/13/2012,0,sell USD,min price,
2/14/2012,0,sell USD,min price,
2/15/2012,0,sell USD,min price,
2/16/2012,0,sell USD,min price,
2/17/2012,0,sell USD,min price,
2/20/2012,0,sell USD,min price,
2/21/2012,0,sell USD,min price,
2/22/2012,0,sell USD,min price,
2/23/2012,0,sell USD,min price,
2/24/2012,0,sell USD,min price,
2/27/2012,0,sell USD,min price,
2/28/2012,0,sell USD,min price,
2/29/2012,0,sell USD,min price,
3/1/2012,0,sell USD,min price,
3/2/2012,0,sell USD,min price,
3/5/2012,0,sell USD,min price,
3/6/2012,0,sell USD,min price,
3/7/2012,0,sell USD,min price,
3/8/2012,0,sell USD,min price,
3/9/2012,0,sell USD,min price,
3/12/2012,0,sell USD,min price,
3/13/2012,0,sell USD,min price,
3/14/2012,0,sell USD,min price,
3/15/2012,0,sell USD,min price,
3/16/2012,0,sell USD,min price,
3/20/2012,0,sell USD,min price,
3/21/2012,0,sell USD,min price,
3/22/2012,0,sell USD,min price,
3/23/2012,0,sell USD,min price,
3/26/2012,0,sell USD,min price,
3/27/2012,0,sell USD,min price,
3/28/2012,0,sell USD,min price,
3/29/2012,0,sell USD,min price,
3/30/2012,0,sell USD,min price,
4/2/2012,0,sell USD,min price,
4/3/2012,0,sell USD,min price,
4/4/2012,0,sell USD,min price,
4/9/2012,0,sell USD,min price,
4/10/2012,0,sell USD,min price,
4/11/2012,0,sell USD,min price,
4/12/2012,0,sell USD,min price,
4/13/2012,0,sell USD,min price,
4/16/2012,0,sell USD,min price,
4/17/2012,0,sell USD,min price,
4/18/2012,0,sell USD,min price,
4/19/2012,0,sell USD,min price,
4/20/2012,0,sell USD,min price,
4/23/2012,0,sell USD,min price,
4/24/2012,0,sell USD,min price,
4/25/2012,0,sell USD,min price,
4/26/2012,0,sell USD,min price,
4/27/2012,0,sell USD,min price,
4/30/2012,0,sell USD,min price,
5/2/2012,0,sell USD,min price,
5/3/2012,0,sell USD,min price,
5/4/2012,0,sell USD,min price,
5/7/2012,0,sell USD,min price,
5/8/2012,0,sell USD,min price,
5/9/2012,0,sell USD,min price,
5/10/2012,0,sell USD,min price,
5/11/2012,0,sell USD,min price,
5/14/2012,0,sell USD,min price,
5/15/2012,0,sell USD,min price,
5/16/2012,0,sell USD,min price,
5/17/2012,0,sell USD,min price,
5/18/2012,0,sell USD,min price,
5/21/2012,0,sell USD,min price,
5/22/2012,0,sell USD,min price,
5/23/2012,258,sell USD,min price,258
5/24/2012,0,sell USD,min price,
5/25/2012,0,sell USD,min price,
5/28/2012,0,sell USD,min price,
5/29/2012,0,sell USD,min price,
5/30/2012,0,sell USD,min price,
5/31/2012,107,sell USD,min price,107
6/1/2012,0,sell USD,min price,
6/4/2012,0,sell USD,min price,
6/5/2012,0,sell USD,min price,
6/6/2012,0,sell USD,min price,
6/7/2012,0,sell USD,min price,
6/8/2012,0,sell USD,min price,
6/11/2012,0,sell USD,min price,
6/12/2012,0,sell USD,min price,
6/13/2012,0,sell USD,min price,
6/14/2012,0,sell USD,min price,
6/15/2012,0,sell USD,min price,
6/18/2012,0,sell USD,min price,
6/19/2012,0,sell USD,min price,
6/20/2012,0,sell USD,min price,
6/21/2012,0,sell USD,min price,
6/22/2012,0,sell USD,min price,
6/25/2012,0,sell USD,min price,
6/26/2012,0,sell USD,min price,
6/27/2012,0,sell USD,min price,
6/28/2012,0,sell USD,min price,
6/29/2012,0,sell USD,min price,
7/2/2012,0,sell USD,min price,
7/3/2012,0,sell USD,min price,
7/4/2012,0,sell USD,min price,
7/5/2012,0,sell USD,min price,
7/6/2012,0,sell USD,min price,
7/9/2012,0,sell USD,min price,
7/10/2012,0,sell USD,min price,
7/11/2012,0,sell USD,min price,
7/12/2012,0,sell USD,min price,
7/13/2012,0,sell USD,min price,
7/16/2012,0,sell USD,min price,
7/17/2012,0,sell USD,min price,
7/18/2012,0,sell USD,min price,
7/19/2012,0,sell USD,min price,
7/20/2012,0,sell USD,min price,
7/23/2012,281,sell USD,min price,281
7/24/2012,0,sell USD,min price,
7/25/2012,0,sell USD,min price,
7/26/2012,0,sell USD,min price,
7/27/2012,0,sell USD,min price,
7/30/2012,0,sell USD,min price,
7/31/2012,0,sell USD,min price,
8/1/2012,0,sell USD,min price,
8/2/2012,0,sell USD,min price,
8/3/2012,0,sell USD,min price,
8/6/2012,0,sell USD,min price,
8/7/2012,0,sell USD,min price,
8/8/2012,0,sell USD,min price,
8/9/2012,0,sell USD,min price,
8/10/2012,0,sell USD,min price,
8/13/2012,0,sell USD,min price,
